date,temperature_2m
2026-01-10 00:00:00+00:00,-5.9545
2026-01-10 01:00:00+00:00,-6.2045
2026-01-10 02:00:00+00:00,-6.5045004
2026-01-10 03:00:00+00:00,-6.2045
2026-01-10 04:00:00+00:00,-6.4545
2026-01-10 05:00:00+00:00,-6.5045004
2026-01-10 06:00:00+00:00,-6.3045
2026-01-10 07:00:00+00:00,-6.6545
2026-01-10 08:00:00+00:00,-6.6045003
2026-01-10 09:00:00+00:00,-6.2545004
2026-01-10 10:00:00+00:00,-5.5045004
2026-01-10 11:00:00+00:00,-4.6045003
2026-01-10 12:00:00+00:00,-3.6545
2026-01-10 13:00:00+00:00,-2.4545
2026-01-10 14:00:00+00:00,-1.6545
2026-01-10 15:00:00+00:00,-1.8045
2026-01-10 16:00:00+00:00,-1.3544999
2026-01-10 17:00:00+00:00,-0.9545
2026-01-10 18:00:00+00:00,-0.8545
2026-01-10 19:00:00+00:00,-1.2544999
2026-01-10 20:00:00+00:00,-1.8045
2026-01-10 21:00:00+00:00,-2.8545
2026-01-10 22:00:00+00:00,-3.5045
2026-01-10 23:00:00+00:00,-4.0545
2026-01-11 00:00:00+00:00,-4.6045003
2026-01-11 01:00:00+00:00,-5.0045004
2026-01-11 02:00:00+00:00,-5.0045004
2026-01-11 03:00:00+00:00,-5.1545
2026-01-11 04:00:00+00:00,-5.4045
2026-01-11 05:00:00+00:00,-5.8045
2026-01-11 06:00:00+00:00,-6.0045004
2026-01-11 07:00:00+00:00,-6.2545004
2026-01-11 08:00:00+00:00,-6.4545
2026-01-11 09:00:00+00:00,-5.8545003
2026-01-11 10:00:00+00:00,-5.0545
2026-01-11 11:00:00+00:00,-4.1545
2026-01-11 12:00:00+00:00,-3.3044999
2026-01-11 13:00:00+00:00,-2.9045
2026-01-11 14:00:00+00:00,-2.7045
2026-01-11 15:00:00+00:00,-3.0045
2026-01-11 16:00:00+00:00,-3.6545
2026-01-11 17:00:00+00:00,-4.3545003
2026-01-11 18:00:00+00:00,-4.9545
2026-01-11 19:00:00+00:00,-5.6045003
2026-01-11 20:00:00+00:00,-6.0045004
2026-01-11 21:00:00+00:00,-6.4045
2026-01-11 22:00:00+00:00,-6.5545
2026-01-11 23:00:00+00:00,-6.8045
2026-01-12 00:00:00+00:00,-6.9545
2026-01-12 01:00:00+00:00,-7.1545
2026-01-12 02:00:00+00:00,-7.3545003
2026-01-12 03:00:00+00:00,-7.5045004
2026-01-12 04:00:00+00:00,-7.8545003
2026-01-12 05:00:00+00:00,-7.7045
2026-01-12 06:00:00+00:00,-7.3545003
2026-01-12 07:00:00+00:00,-6.8545003
2026-01-12 08:00:00+00:00,-6.5545
2026-01-12 09:00:00+00:00,-6.1045003
2026-01-12 10:00:00+00:00,-5.4045
2026-01-12 11:00:00+00:00,-4.5045004
2026-01-12 12:00:00+00:00,-3.6045
2026-01-12 13:00:00+00:00,-3.1045
2026-01-12 14:00:00+00:00,-3.4545
2026-01-12 15:00:00+00:00,-3.2545
2026-01-12 16:00:00+00:00,-3.1545
2026-01-12 17:00:00+00:00,-2.9545
2026-01-12 18:00:00+00:00,-2.7045
2026-01-12 19:00:00+00:00,-2.518625
2026-01-12 20:00:00+00:00,-2.23275
2026-01-12 21:00:00+00:00,-1.9593749
2026-01-12 22:00:00+00:00,-1.661
2026-01-12 23:00:00+00:00,-1.361
2026-01-13 00:00:00+00:00,-1.061
2026-01-13 01:00:00+00:00,-0.81100005
2026-01-13 02:00:00+00:00,-0.81100005
2026-01-13 03:00:00+00:00,-0.611
2026-01-13 04:00:00+00:00,-0.56100005
2026-01-13 05:00:00+00:00,-0.51100004
2026-01-13 06:00:00+00:00,-0.311
2026-01-13 07:00:00+00:00,-0.161
2026-01-13 08:00:00+00:00,0.039
2026-01-13 09:00:00+00:00,0.23900001
2026-01-13 10:00:00+00:00,0.389
2026-01-13 11:00:00+00:00,0.589
2026-01-13 12:00:00+00:00,1.039
2026-01-13 13:00:00+00:00,1.2390001
2026-01-13 14:00:00+00:00,1.289
2026-01-13 15:00:00+00:00,1.339
2026-01-13 16:00:00+00:00,1.439
2026-01-13 17:00:00+00:00,1.639
2026-01-13 18:00:00+00:00,1.689
2026-01-13 19:00:00+00:00,1.689
2026-01-13 20:00:00+00:00,1.689
2026-01-13 21:00:00+00:00,1.689
2026-01-13 22:00:00+00:00,1.839
2026-01-13 23:00:00+00:00,1.889
2026-01-14 00:00:00+00:00,1.939
2026-01-14 01:00:00+00:00,1.9890001
2026-01-14 02:00:00+00:00,1.9890001
2026-01-14 03:00:00+00:00,2.039
2026-01-14 04:00:00+00:00,2.089
2026-01-14 05:00:00+00:00,2.239
2026-01-14 06:00:00+00:00,2.389
2026-01-14 07:00:00+00:00,2.6890001
2026-01-14 08:00:00+00:00,3.039
2026-01-14 09:00:00+00:00,3.389
2026-01-14 10:00:00+00:00,3.739
2026-01-14 11:00:00+00:00,4.039
